time_s,v_mean,v_std,user00,user01,user02,user10,user11,user12
1776,-0.145279108,0.114598821,-0.125496686,-0.333402783,-0.218038172,-0.108054906,0.044844039,-0.131526142
1777,-0.097893039,0.11992141,-0.148445114,-0.153865695,-0.310306638,-0.020844761,0.035032056,0.011071917
1778,0.016117239,0.125605464,-0.13812393,0.13333191,-0.174459204,0.13362959,0.049456816,0.092868254
1779,-0.12152205,0.095660378,-0.128569007,-0.248115152,-0.200186029,-0.158994332,0.008039214,-0.001306996
1780,-0.105914393,0.099402373,-0.114816487,-0.232456684,-0.193582997,-0.076712608,0.080073468,-0.097991049
1781,-0.151798536,0.071013419,-0.128921151,-0.276780903,-0.195396572,-0.105622187,-0.051401,-0.1526694
1782,-0.138177166,0.076300573,-0.13263911,-0.16449815,-0.291573256,-0.098076284,-0.077473938,-0.064802259
1783,-0.138257299,0.087151294,-0.154989988,-0.283574432,-0.21146825,-0.071877539,-0.045199323,-0.06243426
1784,-0.125080603,0.08977047,-0.131807268,-0.200969964,-0.211098403,-0.032039639,0.021424515,-0.195992857
1785,-0.118656064,0.104125508,-0.127444088,-0.045166876,-0.340919524,-0.035635669,-0.065523848,-0.097246379
1786,-0.16892454,0.120112283,-0.11132282,-0.258925229,-0.281562597,-0.104513004,0.037305757,-0.294529349
1787,-0.144244473,0.12561397,-0.126677439,-0.347704202,-0.17944558,-0.115725443,0.079270624,-0.175184801
1788,-0.117047555,0.091384009,-0.130562633,-0.285003901,-0.128675729,-0.076132283,0.02356175,-0.105472535
1789,-0.149575972,0.158165744,-0.444150746,-0.028424095,-0.106813982,-0.165686339,-0.002804697,
1790,-0.158052766,0.155160985,-0.393055916,-0.090136498,-0.219009459,-0.168163776,0.080101818,
1791,-0.098314467,0.089968598,-0.142258182,-0.073812008,-0.233554959,-0.073054165,0.063173428,-0.130380914
1792,-0.140458388,0.138219315,-0.120432988,-0.19653669,-0.351669759,-0.032264058,0.079235166,-0.221082002
1793,-0.065961242,0.112218065,-0.120453358,-0.146865368,-0.149245545,-0.041449938,0.171932772,-0.109686017
1794,-0.125492419,0.12168891,-0.136096314,-0.214546233,-0.260743141,-0.072683021,0.112432048,-0.181317851
