11_v,01_v,02_v,00_v,12_v,10_v,11_a,01_a,02_a,12_a,10_a,00_a,v_mean,v_std,a_mean,a_std
0.0141605194658041,-0.038793761283159256,-0.044576290994882584,-0.12457183003425598,-0.04257519915699959,-0.008098658174276352,0.39517900347709656,0.189697727560997,0.2993833124637604,0.401287317276001,0.3872509300708771,0.4103030860424042,-0.04074253669629494,0.04306811049908522,0.34718356281518936,0.07948469343390317
0.010131817311048508,-0.11239524185657501,-0.28533968329429626,-0.12283271551132202,0.02209780551493168,-0.11757512390613556,0.4608113765716553,0.23701637983322144,0.2830010652542114,0.2816625237464905,0.1901528388261795,0.4099022448062897,-0.10098552362372477,0.10195237602034977,0.31042440483967465,0.09482031691209757
-0.09642809629440308,-0.5019106268882751,-0.19008879363536835,-0.10128772258758545,-0.19638927280902863,-0.013828735798597336,0.32531195878982544,0.4295203387737274,0.4358401298522949,0.30622342228889465,0.30729857087135315,0.40744316577911377,-0.18332220800220966,0.15530797150526823,0.3686062643925349,0.05666255554174067
0.04970497637987137,-0.3155999183654785,-0.2217022180557251,-0.09148351848125458,-0.17926181852817535,null,0.25254765152931213,0.4825812578201294,0.4166345000267029,0.41819560527801514,null,0.41251876950263977,-0.15166849941015242,0.12386535577727133,0.39649555683135984,0.0765048493044678
0.047248970717191696,-0.1385098546743393,-0.17471127212047577,-0.09222511947154999,-0.1833946257829666,null,0.17528215050697327,0.45516812801361084,0.3713269531726837,0.5803861618041992,null,0.4215374290943146,-0.108318380266428,0.08416196004323936,0.4007401645183563,0.1321847698099372
0.067950539290905,-0.31722378730773926,-0.14570964872837067,-0.09671822190284729,-0.22859692573547363,-0.14369429647922516,0.2813724875450134,0.4791894853115082,0.3260036110877991,0.3115054666996002,0.2417696714401245,0.4200458526611328,-0.14399872347712517,0.11855008387632626,0.34331442912419635,0.08145485324526329
-0.03525937721133232,-0.24301475286483765,-0.2011396735906601,-0.0936087816953659,-0.10930770635604858,-0.1463722139596939,0.21685105562210083,0.22411829233169556,0.27761515974998474,0.32383570075035095,0.2588381767272949,0.41932395100593567,-0.1381170842796564,0.06884062749415902,0.2867637226978938,0.06906797252343375
-0.006240218877792358,-0.2732785642147064,-0.2881728410720825,-0.09640702605247498,-0.08788993954658508,-0.13514839112758636,0.11960038542747498,0.4129232168197632,0.29536712169647217,0.5568321943283081,0.31068047881126404,0.42109400033950806,-0.14785616348187128,0.10155382285200859,0.3527495662371318,0.1350078038215676
0.07659584283828735,-0.10201039910316467,-0.19972172379493713,-0.09632784128189087,0.04680955037474632,-0.17763084173202515,0.3926486372947693,0.21407517790794373,0.2947160005569458,0.45607393980026245,0.3369072377681732,0.40226006507873535,-0.07538090211649735,0.10415615851873315,0.349446843067805,0.0790602763216883
-0.030068326741456985,-0.3168218731880188,-0.1440722793340683,-0.09382031857967377,-0.1091098040342331,-0.14522452652454376,0.1216735988855362,0.2616868019104004,0.29001447558403015,0.5615272521972656,0.3685346841812134,0.40151336789131165,-0.1398528547336658,0.08801653635542309,0.33415836344162625,0.13525631523173431
-0.06297218799591064,-0.4224763512611389,-0.24240535497665405,-0.108491450548172,-0.0928521603345871,-0.15505260229110718,0.22821247577667236,0.3645288348197937,0.3128014802932739,0.5188953280448914,0.309946745634079,0.44261544942855835,-0.18070835123459497,0.12227857451996739,0.3628333856662114,0.09499680673022673
-0.22351309657096863,-0.3397253155708313,-0.17503273487091064,-0.15120509266853333,-0.1672709733247757,-0.1008865088224411,0.058905571699142456,0.2778800129890442,0.20615200698375702,0.43422579765319824,0.4062575399875641,0.42387256026268005,-0.19293895363807678,0.07491757681767895,0.3012155815958977,0.13666628326598987
-0.1427542269229889,-0.3495313823223114,-0.10791821777820587,-0.13797426223754883,-0.19819557666778564,-0.13296696543693542,0.10621166229248047,0.3249148428440094,0.29021281003952026,0.6257138848304749,0.3732806146144867,0.41179314255714417,-0.17822343856096268,0.08125508342474133,0.3553544928630193,0.1548348738734345
