time_s,rppg_mean,rppg_std,user00,user10,user01
91.08,0.009974,0.310478177,0,-0.295397,0.325319
91.12,-0.1218689,0.13666072,0,-0.26962,-0.0959867
91.16,-0.255916,0.235597785,0,-0.303958,-0.46379
91.2,-0.290321667,0.283373888,0,-0.30477,-0.566195
91.24,-0.280415333,0.294226829,0,-0.254506,-0.58674
91.28,-0.114291667,0.113815526,0,-0.11525,-0.227625
91.32,0.027418233,0.035527724,0,0.0147001,0.0675546
91.36,0.229076333,0.304094765,0,0.113144,0.574085
91.4,0.355589,0.482808409,0,0.161535,0.905232
91.44,0.2595527,0.368136063,0,0.0977841,0.680874
91.48,0.085405667,0.159118687,0,-0.012775,0.268992
91.52,-0.0918878,0.088778385,0,-0.0984734,-0.17719
91.56,-0.216440333,0.260268007,0,-0.144093,-0.505228
91.6,-0.258451,0.317903023,0,-0.161923,-0.61343
91.64,-0.200700333,0.241131518,0,-0.133916,-0.468185
91.68,-0.046963303,0.082533073,0,-0.142261,0.00137109
91.72,0.112176333,0.314234453,0,-0.130576,0.467105
91.76,-0.043112033,0.087630688,0,-0.143947,0.0146109
91.8,0.266314333,0.576955336,0,-0.129381,0.928324
91.84,-0.0323707,0.115790799,0,-0.160902,0.0637899
91.88,-0.029613867,0.099171725,0,-0.140219,0.0513774
91.92,-0.1592964,0.212272586,0,-0.0776122,-0.400277
91.96,-0.2406651,0.387848626,0,-0.0339093,-0.688086
92,-0.200679937,0.344334297,0,-0.00376281,-0.598277
92.04,-0.1209036,0.237487422,0,0.0318042,-0.394515
92.08,0.0269003,0.031311365,0,0.0612713,0.0194296
92.12,0.126764767,0.153017085,0,0.0835533,0.296741
92.16,0.144455333,0.160571306,0,0.116022,0.317344
92.2,0.137091333,0.126489282,0,0.162002,0.249272
92.24,0.056367288,0.097671831,0,0.169149,-4.71E-05
92.28,-0.017663333,0.198504273,0,0.171419,-0.224409
92.32,-0.078481,0.281331889,0,0.155277,-0.39072
92.36,-0.068551333,0.246223207,0,0.136132,-0.341786
92.4,0.008569067,0.111962609,0,0.12457,-0.0988628
92.44,0.135499667,0.1174277,0,0.198874,0.207625
92.48,0.1181326,0.18119029,0,0.0276548,0.326743
92.52,0.130480967,0.181718296,0,0.0534099,0.338033
92.56,0.0793627,0.114749326,0,0.0271551,0.210933
92.6,0.000762523,0.006402412,0,0.00751205,-0.00522448
92.64,-0.0358639,0.049176972,0,-0.0156683,-0.0919234
92.68,-0.070676167,0.106485462,0,-0.0188775,-0.193151
92.72,-0.012430633,0.012236077,0,-0.0244624,-0.0128295
92.76,0.064825927,0.116887932,0,-0.00528422,0.199762
92.8,0.133488133,0.242963086,0,-0.0134656,0.41393
92.84,0.13410598,0.234333031,0,-0.00236906,0.404687
92.88,0.0866118,0.163804936,0,-0.0157046,0.27554
92.92,0.02975816,0.045298554,0,0.00738408,0.0818904
92.96,0.001234667,0.025488737,0,0.0273183,-0.0236143
93,-0.012660733,0.066648092,0,0.0467489,-0.0847311
93.04,-0.006415667,0.05777996,0,0.0478887,-0.0671357
93.08,0.01510788,0.020338483,0,0.0382332,0.00709044
93.12,0.0623161,0.089625398,0,0.0219183,0.16503
93.16,0.115428033,0.18919828,0,0.0125081,0.333776
93.2,0.102676383,0.18512161,0,-0.00835285,0.316382
93.24,0.0719315,0.142656675,0,-0.0204395,0.236234
93.28,-0.00832741,0.013021109,0,-0.0233327,-0.00164953
93.32,-0.065629733,0.097448356,0,-0.0192882,-0.177601
93.36,-0.103171467,0.157910647,0,-0.0245554,-0.284959
93.4,-0.120177993,0.213453715,0,0.00609402,-0.366628
93.44,-0.075788457,0.139592223,0,0.00951663,-0.236882
93.48,-0.01444612,0.029662523,0,0.00522594,-0.0485643
93.52,0.032927367,0.082852824,0,-0.0283999,0.127182
93.56,0.0267369,0.092947962,0,-0.0499123,0.130123
93.6,0.001372033,0.049125522,0,-0.0470531,0.0511692
93.64,-0.0249783,0.034214382,0,-0.0109592,-0.0639757
93.68,-0.036388,0.080371618,0,0.019354,-0.128518
93.72,-0.042703,0.112296708,0,0.041978,-0.170087
93.76,-0.028231767,0.072043902,0,0.0254207,-0.110116
93.8,-0.006631633,0.024707895,0,0.0140837,-0.0339786
93.84,0.022892417,0.04853221,0,-0.00995955,0.0786368
93.88,0.034776733,0.075086721,0,-0.0166168,0.120947
93.92,0.045257267,0.099272769,0,-0.0233222,0.159094
93.96,0.043530181,0.074774208,0,0.000719542,0.129871
94,0.036808127,0.064500299,0,-0.000860618,0.111285
94.04,0.01262399,0.027818909,0,-0.00664463,0.0445166
94.08,-0.010768957,0.016661967,0,-0.00234607,-0.0299608
94.12,-0.01330374,0.02418654,0,0.00131048,-0.0412217
94.16,0.01494797,0.019643537,0,0.00764741,0.0371965
94.2,0.07727645,0.130461191,0,0.00392635,0.227903
94.24,0.130592233,0.241817729,0,-0.0178523,0.409629
94.28,0.15192,0.272143103,0,-0.010347,0.466107
94.32,0.144983667,0.241803226,0,0.010827,0.424124
94.36,0.119860533,0.178173437,0,0.0349776,0.324604
94.4,0.055445933,0.079015914,0,0.0204168,0.145921
94.44,-0.02538907,0.039646349,0,-0.00509301,-0.0710742
94.48,-0.072829133,0.084325183,0,-0.0532734,-0.165214
94.52,-0.080117733,0.077606517,0,-0.0854112,-0.154942
94.56,-0.060641833,0.053539407,0,-0.101374,-0.0805515
94.6,-0.019247467,0.059112925,0,-0.0855853,0.0278429
94.64,-0.083338133,0.079397737,0,-0.0919154,-0.158099
94.68,-0.1574844,0.210696866,0,-0.0756272,-0.396826
94.72,-0.2444092,0.376244227,0,-0.0555546,-0.677673
94.76,-0.310807333,0.517668935,0,-0.024023,-0.908399
94.8,-0.358638533,0.59491444,0,-0.0305556,-1.04536
94.84,-0.319127027,0.553082805,0,0.000390918,-0.957772
94.88,-0.190946677,0.32323706,0,-0.00868503,-0.564155
94.92,-0.054660067,0.082688254,0,-0.0141922,-0.149788
94.96,0.0907355,0.173160775,0,-0.0182015,0.290408
95,0.136080353,0.231303106,0,0.00509106,0.40315
95.04,0.1386532,0.225550158,0,0.0170496,0.39891
95.08,0.0801635,0.120402816,0,0.0218725,0.218618
95.12,-0.001429833,0.029079826,0,-0.0311982,0.0269087
